Exercicio,Orgao,Unidade_Orcamentaria,Programa_de_Trabalho,Acao,Descricao_Acao,Fonte_de_Recursos,Descricao_Fonte,Elemento_Despesa,Descricao_Elemento,Item_Despesa,Descricao_item_Despesa,Orcamento_Atualizado,Empenhado,Liquidado,Pago,Pago_Restos_Pagar
2016,11,01,11010412203032771,2771,APOIO A AUTORIDADE PUBLICA OLIMPICA - APO,100,100 - ORDINARIOS NAO VINCULADOS,337139,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,33713900,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,1000,0,0,0,0
2016,11,01,11010412203041726,1726,PROJETO DE REVITALIZACAO DO CAIS DO PORTO DO RIO DE JANEIRO,100,100 - ORDINARIOS NAO VINCULADOS,449092,Despesas de Exercícios Anteriores,44909201,Execução De Obras E Projetos De Ampliação  Reconstrução E Reformas,0,0,0,0,436524 19
2016,11,01,11010412203042603,2603,REVITALIZACAO DO CAIS DO PORTO DO RIO DE JANEIRO,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903912,Bens Imóveis - Locação De Pessoa Jurídica,0,0,0,0,1540492 3500000001
2016,11,01,11010412203042603,2603,REVITALIZACAO DO CAIS DO PORTO DO RIO DE JANEIRO,100,100 - ORDINARIOS NAO VINCULADOS,339092,Despesas de Exercícios Anteriores,33909211,Bens Imóveis - Locação,0,0,0,0,5411685 96
2016,11,01,11010412203762706,2706,CENTRAL UNICA DE ATENDIMENTO - 1746,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903900,Outros Serviços De Terceiros - Pessoa Jurídica,4656404,0,0,0,0
2016,11,01,11010412203762706,2706,CENTRAL UNICA DE ATENDIMENTO - 1746,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903908,Serviços De Comunicação Social,0,0,0,0,1360589 03
2016,11,01,11010412203762706,2706,CENTRAL UNICA DE ATENDIMENTO - 1746,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903997,SERVICOS DE TELEATENDIMENTO,0,4656404,4656404,4656404,4656404
2016,11,01,11010412203892022,2022,APOIO A EVENTOS E PROJETOS DIVERSOS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903900,Outros Serviços De Terceiros - Pessoa Jurídica,32623924 670000002,0,0,0,0
2016,11,01,11010412203892022,2022,APOIO A EVENTOS E PROJETOS DIVERSOS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903911,Fornecimento De Alimentação,0,7980,7980,7980,7980
2016,11,01,11010412203892022,2022,APOIO A EVENTOS E PROJETOS DIVERSOS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903917,Serviços para Eventos com fins Educativos  Culturais e Sociais,0,29392967 400000002,29392967 399999991,27596714 369999997,29569174 109999999
2016,11,01,11010412203892022,2022,APOIO A EVENTOS E PROJETOS DIVERSOS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903936,Serviços Para Eventos Esportivos,0,2480000,2480000,2480000,2480000
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,108,108 - CONVENIO REALIZADO,335039,Outros Serviços de Terceiros - Pessoa Jurídica,33503900,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,2500000,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,108,108 - CONVENIO REALIZADO,335039,Outros Serviços de Terceiros - Pessoa Jurídica,33503907,SERV. DE GERENCIAMENTO  OPERACIONALIZACAO E EXECUCAO DE ATIVIDADES DIRIGIDAS AO ESPORTE,0,1915057 8700000001,1915057 8699999999,1786657 8899999999,1786657 8899999999
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339014,Diárias - Civil,33901400,Diárias - Civil,360000,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339014,Diárias - Civil,33901401,Diárias,0,264311 46000000002,264311 45999999996,264311 45999999996,268401 07999999996
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903000,Material De Consumo,165479 67000000001,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903001,Materiais E Utensílios Em Geral Para Copa  Cozinha  Mesa  Dormitório E Banho,0,7875,7875,7875,7875
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903003,Material Para Escritório E  Expediente,0,55006,55006,55006,55006
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903004,Materiais De Vestuário  Uniformes  Fardamento  Tecidos E Aviamentos,0,0,0,0,68000
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903021,Materiais E Produtos Químicos,0,2168 8000000000002,2168 8000000000002,2168 8000000000002,2168 8000000000002
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903024,Genêros Alimentícios  Inclusive Bebidas,0,48770,48770,48770,54379 029999999999
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339030,Material de Consumo,33903031,CARTUCHOS  TONNERS E INSUMOS PARA IMPRESSORAS,0,7960,7960,7960,40221
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339033,Passagens e Despesas com Locomoção,33903300,Passagens E Despesas Com Locomoção,1952604,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339033,Passagens e Despesas com Locomoção,33903302,Passagens,0,1948416 8099999998,1948416 8099999998,1813150 5100000002,1857116 0700000003
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339037,Locação de Mão de Obra,33903700,Locação De Mão-De-Obra,3867845 4100000001,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339037,Locação de Mão de Obra,33903701,Serviço de Limpeza  Conservação  Higiene e Copa por Pessoa Jurídica,0,925407 95999999996,925407 95999999985,871324 63,925544 93000000005
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339037,Locação de Mão de Obra,33903709,Serviço de Apoio Administrativo e Operacional,0,2659026 2199999997,2659026 2200000002,2630943 2200000002,2774086 3500000001
