EXERCICIO,DESC_ORGAO,CODIGO_RUBRICA,DESC_RUBRICA,RECEITA_PREVISTA,RECEITA_ARRECADADA,RECEITA_ARRECADADA_JAN,RECEITA_ARRECADADA_FEV,RECEITA_ARRECADADA_MAR,RECEITA_ARRECADADA_ABR,RECEITA_ARRECADADA_MAI,RECEITA_ARRECADADA_JUN,RECEITA_ARRECADADA_JUL,RECEITA_ARRECADADA_AGO,RECEITA_ARRECADADA_SET,RECEITA_ARRECADADA_OUT,RECEITA_ARRECADADA_NOV,RECEITA_ARRECADADA_DEZ
2016,Prefeitura,1322010103,CONTAX PARTICIPACOES S.A.,855,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325010301,TRANSFERENCIAS DO FNS - ATENCAO BASICA,3742598,8711539 540000001,451742 42999999999,699263 98999999999,1113198 21,822745 90000000002,817749 41000000003,572472 58999999997,624744 17000000004,829981 48999999999,735359 68000000005,814074 57999999996,838737 28000000003,391469 81
2016,Prefeitura,1325010304,TRANSFERENCIAS DO FNS - ASSISTENCIA FARMACEUTICA,1010752,432012 20000000001,11001 32,49927 400000000001,71729 740000000005,64164 620000000003,34083 68,39987 290000000001,54021 889999999999,27331 439999999999,34298 720000000001,22799 93,14105 280000000001,8560 8899999999994
2016,Prefeitura,1325010307,TRANSFERENCIAS DO FES - MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,310673,276325 87,21764 200000000001,20124 619999999999,23560 939999999999,21656 779999999999,23001 049999999999,24350 869999999999,23482 98,25984 669999999998,23947 93,22922 16,22900 389999999999,22629 279999999999
2016,Prefeitura,1325010319,RECURSOS DO FMS - MULTAS POR INFRACAO A LEGISLACAO DA SAUDE,140549,59557 25,6434 5500000000002,6254 8400000000001,4493 1300000000001,3599 46,1553 52,4305 7799999999997,9329 0599999999995,8544 1499999999996,4538 1800000000003,3048 3499999999999,3014 2199999999998,4442 0100000000002
2016,Prefeitura,1325015519,BRT-CORREDOR TRANSBRASIL-SMO,0,686846 7300000001,131279 78,25936 240000000002,2167 8400000000001,111600 45,30291 52,101364 89,11452 379999999999,0,219571,8077 5200000000004,8070 5799999999999,37034 529999999999
2016,Prefeitura,1325015606,RESERVA TECNICA - DEPOSITOS JUDICIAIS,149599,19249447 849999994,2231550 5,1240495 95,1931394 9299999999,2057911 1299999999,1895942 25,1251185 71,528325 27000000002,3214254 3999999999,2199191 4300000002,1403141 8200000001,934497 13,361557 33000000002
2016,Prefeitura,1325019819,CONV. N 824460/2015/MJ/SESGE - IMPLEMENTACAO DO PLANO NACIONAL DE SEGURANCA PARA A REALIZA,0,368417 85999999999,43070 879999999997,82510 949999999997,96564 919999999998,40561 129999999997,575 47000000000003,60615 050000000003,16957 59,16112 73,5947 6899999999996,1860 76,1878 77,1761 9200000000001
2016,Prefeitura,1325019821,CONV. 818552/2015/MDSCF - ESTRATEGIA DE PROMOCAO EDE EDUCACAO DA ALIMENTACAO SAUDAVEL E SU,0,15507 91,0,0,893 13,1498 1099999999999,1586 27,1676 28,1614 26,1783 96,1643 26,1566 1700000000001,1556 4000000000001,1690 0699999999999
2016,Prefeitura,1230010101,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA MUNICIPAL,287993334,256288033 91999996,21020326,22300849 649999999,24195177 23,26983428 899999999,24541845 199999999,25546940 809999999,21155310 5,17193238 719999999,17153561 07,17953331 010000002,18416361 07,19827663 760000002
2016,Prefeitura,1325015116,CONV.LIGHT/PCRJ/SMAS - RECUP. E ATUALIZACAO DO CADASTRO UNICO DE PROG.SOCIAIS-FMAS,0,66001 979999999996,4976 9300000000003,4778 9200000000001,5594 9399999999996,5142 7600000000002,5461 9799999999996,5782 5200000000004,5576 4200000000001,6170 4899999999998,5686 8299999999999,5443 25,5438 0799999999999,5948 8599999999997
2016,Prefeitura,1325015132,CONV.799525/2013-ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL BASICA-AQUIS. DE MAT.,0,38577 709999999999,3068 4200000000001,2949 2600000000002,3451 6100000000001,3145 3099999999999,3327 8400000000001,3533 4899999999998,3404 9200000000001,3763 8299999999999,3457 3899999999999,2979 3499999999999,2861 54,2634 75
2016,Prefeitura,1325015311,CONV. 222/2001/MET - PROJETO NAVEGAR - SMEL,0,13284 98,1001 77,961 90999999999997,1126 1500000000001,1035 1500000000001,1099 3900000000001,1163 9200000000001,1122 4300000000001,1242,1144 6600000000001,1095 6199999999999,1094 5899999999999,1197 3900000000001
2016,Prefeitura,1325015340,CONV. PREVIRIO/CVL -GESTAO DO CLUBE DO SERVIDOR MUNICIPAL - CVL,0,222399 44,14504 02,13927,17031 650000000001,16164 08,15938 67,19706 630000000001,21489 98,21135 880000000001,20879 439999999999,20190 540000000001,20171 34,21260 209999999999
2016,Prefeitura,1325015355,CONV. MTE SENAES N.722081/2009-FOMENTO E APOIO DO DESENV. DA ECONOMIA SOLIDARIA - SEDES,0,46796 970000000001,2774 6799999999998,3649 8600000000001,3792 7600000000002,3934 98,3805 48,4063 5999999999999,4208 6599999999999,4215 4099999999999,4164 8199999999997,3845 0999999999999,4044 6799999999998,4296 9399999999996
2016,Prefeitura,1325015605,RESERVA TECNICA DEPOSITOS ADMINISTRATIVOS,0,4281283 4100000001,0,0,0,0,0,0,0,0,530615 45999999996,1244600 6699999999,1236938 53,1269128 75
2016,Prefeitura,1325015620,TRANSF DO FNDE-TC 203858/2013-CONST 19 COBERTURAS PARA QUADRAS ESPORTIVAS ESCOLARES-PACII,130462,84657 059999999983,8997 3600000000006,6057 3900000000003,6923 5100000000002,6363 96,6758 9799999999996,7155 6300000000001,6900 6000000000004,7635 7299999999996,7037 2299999999996,6735 8000000000002,6729 3900000000003,7361 4799999999996
2016,Prefeitura,1325015621,TRANSF DO FNDE-TC 203857/2013-CONSTRUCAO DE 04 QUADRAS ESPORTIVAS ESCOLARES COBERTAS-PACII,75722,44360 389999999999,4776 8900000000003,3172 7600000000002,3621 8600000000001,3329 1500000000001,3535 8000000000002,3743 29,3609 8800000000001,3994 4499999999998,3681 3499999999999,3523 6700000000001,3520 3200000000002,3850 9699999999998
2016,Prefeitura,1112043401,IMPOSTO DE RENDA RETIDO NA FONTE,22734481,26443516 43,1322445 9399999999,1783010 9299999999,2842063 21,2030180 24,2425232 25,2570205 46,2432039 27,2849802 4100000001,1963034 52,1750561 03,1701422 49,2773518 6800000002
